"day","hour","all","jay","bob"
"0","0",1,0,1
"0","1",1,1,0
"0","2",0,0,0
"0","3",0,0,0
"0","4",0,0,0
"0","5",0,0,0
"0","6",1,0,1
"0","7",0,0,0
"0","8",1,0,1
"0","9",5,3,2
"0","10",2,0,2
"0","11",10,4,6
"0","12",0,0,0
"0","13",3,1,2
"0","14",5,1,4
"0","15",7,4,3
"0","16",7,4,3
"0","17",3,2,1
"0","18",6,6,0
"0","19",7,2,5
"0","20",7,4,3
"0","21",8,2,6
"0","22",3,0,3
"0","23",2,0,2
"1","0",0,0,0
"1","1",2,0,2
"1","2",0,0,0
"1","3",0,0,0
"1","4",0,0,0
"1","5",0,0,0
"1","6",0,0,0
"1","7",2,0,2
"1","8",1,0,1
"1","9",3,2,1
"1","10",2,2,0
"1","11",2,2,0
"1","12",1,0,1
"1","13",1,1,0
"1","14",2,0,2
"1","15",4,3,1
"1","16",7,5,2
"1","17",4,3,1
"1","18",2,0,2
"1","19",1,0,1
"1","20",4,4,0
"1","21",4,2,2
"1","22",6,2,4
"1","23",3,0,3
"2","0",4,1,3
"2","1",1,0,1
"2","2",0,0,0
"2","3",0,0,0
"2","4",0,0,0
"2","5",1,0,1
"2","6",1,0,1
"2","7",3,0,3
"2","8",2,2,0
"2","9",1,1,0
"2","10",4,3,1
"2","11",2,1,1
"2","12",6,4,2
"2","13",2,1,1
"2","14",2,0,2
"2","15",1,0,1
"2","16",2,2,0
"2","17",0,0,0
"2","18",0,0,0
"2","19",0,0,0
"2","20",3,3,0
"2","21",1,0,1
"2","22",1,0,1
"2","23",2,1,1
"3","0",1,1,0
"3","1",2,1,1
"3","2",0,0,0
"3","3",0,0,0
"3","4",1,0,1
"3","5",0,0,0
"3","6",0,0,0
"3","7",1,1,0
"3","8",1,0,1
"3","9",3,3,0
"3","10",1,0,1
"3","11",3,2,1
"3","12",2,0,2
"3","13",0,0,0
"3","14",0,0,0
"3","15",1,0,1
"3","16",0,0,0
"3","17",2,0,2
"3","18",0,0,0
"3","19",2,2,0
"3","20",0,0,0
"3","21",1,1,0
"3","22",3,1,2
"3","23",2,1,1
"4","0",6,5,1
"4","1",2,0,2
"4","2",0,0,0
"4","3",0,0,0
"4","4",0,0,0
"4","5",0,0,0
"4","6",2,0,2
"4","7",2,0,2
"4","8",2,1,1
"4","9",0,0,0
"4","10",4,3,1
"4","11",0,0,0
"4","12",1,1,0
"4","13",0,0,0
"4","14",2,1,1
"4","15",2,0,2
"4","16",3,3,0
"4","17",4,2,2
"4","18",0,0,0
"4","19",3,1,2
"4","20",5,2,3
"4","21",3,1,2
"4","22",4,1,3
"4","23",1,1,0
"5","0",2,1,1
"5","1",1,0,1
"5","2",1,0,1
"5","3",1,0,1
"5","4",0,0,0
"5","5",0,0,0
"5","6",3,0,3
"5","7",0,0,0
"5","8",5,5,0
"5","9",1,1,0
"5","10",3,1,2
"5","11",3,2,1
"5","12",1,1,0
"5","13",2,2,0
"5","14",0,0,0
"5","15",2,1,1
"5","16",4,4,0
"5","17",0,0,0
"5","18",0,0,0
"5","19",1,0,1
"5","20",1,0,1
"5","21",2,1,1
"5","22",3,2,1
"5","23",0,0,0
"6","0",0,0,0
"6","1",0,0,0
"6","2",0,0,0
"6","3",0,0,0
"6","4",0,0,0
"6","5",0,0,0
"6","6",0,0,0
"6","7",0,0,0
"6","8",0,0,0
"6","9",2,1,1
"6","10",0,0,0
"6","11",3,2,1
"6","12",4,3,1
"6","13",3,2,1
"6","14",3,2,1
"6","15",6,3,3
"6","16",3,0,3
"6","17",10,6,4
"6","18",7,1,6
"6","19",5,0,5
"6","20",2,0,2
"6","21",0,0,0
"6","22",3,3,0
"6","23",4,1,3
