bitly.link.id	ts	click.count	long.url
LVqL5N	2014-01-25 19:10:07	4	http://oidwxc.serveftp.com/mfsza6iztwzpfqvdf3qhkgpazgpxjdd9rvjeiq
LVqIXt	2014-01-25 19:10:06	0	http://oidwxc.serveftp.com/h8kgoqjt0klpxwj7kjjz6vr1oab42xxiadrpn8a
LVqL5G	2014-01-25 19:10:05	0	http://oidwxc.serveftp.com/iehncz8evmwdocfzx99zf2tz19oq298
LVqL5L	2014-01-25 19:10:05	7	http://oidwxc.serveftp.com/epmglllr5zzgpxym1g82w4ygjvvumsyuyihtfzmuv95rp
LVqIXr	2014-01-25 19:10:06	1	http://oidwxc.serveftp.com/znkbmv4oxxskhzgruaw4jqvzvrp0z0tk4rgtl8
LVqIHd	2014-01-25 19:10:05	0	http://oidwxc.serveftp.com/izbjrvtlxwsxarfdmdurzcyzgt4ebga8kqzpoexrga
LVqIH5	2014-01-25 19:10:04	0	http://oidwxc.serveftp.com/66eldntsubajhdckzesyk62gzlvgrnkzejfdxxdltkuhifpwbw
LVqIH2	2014-01-25 19:10:04	0	http://oidwxc.serveftp.com/zocwf8xanj7t9yznpr7fgznxpby2fgnkxcgy1afere8ocinwx6
LVqKPk	2014-01-25 19:10:04	0	http://oidwxc.serveftp.com/cbyjsjjbaricksjvk28wzrefzxhhag1v30ad8vxmsi
LVqL5C	2014-01-25 19:10:04	1	http://oidwxc.serveftp.com/osoz9vci67ltgzp0fzfloosiufga683u5p
LVqIGW	2014-01-25 19:10:03	4	http://oidwxc.serveftp.com/b0prodlkjguavmsmwrzj6pbgzdaic0p91kwpxnlrlzt
LVqIqH	2014-01-25 19:10:03	3	http://oidwxc.serveftp.com/9syw9r0zivlbd9jmdeg629nsillw4antt5nxzapq
LVoxmZ	2014-01-25 19:00:20	1	http://swlpwqx.serveftp.com/3cz0zmqi0hhgdo1029ry3gksc20lthwbfrveq2
LVoAyU	2014-01-25 19:00:17	0	http://swlpwqx.serveftp.com/3zn7ytcwz7kgr2fwqyxvjsavpmrhvpxhgrjszlv7tl0hp
