"Day","Chapter","CommitCount"
2013-07-20,"ch01",4
2013-07-20,"ch02",1
2013-07-20,"ch03",19
2013-07-20,"ch04",1
2013-07-20,"ch05",6
2013-07-21,"ch01",2
2013-07-21,"ch02",1
2013-07-21,"ch03",10
2013-07-21,"ch05",12
2013-07-22,"ch01",2
2013-07-22,"ch02",4
2013-07-23,"ch02",5
2013-07-23,"ch05",11
2013-07-24,"ch02",7
2013-07-25,"ch05",7
2013-07-26,"ch05",3
2013-07-27,"ch02",4
2013-07-28,"ch05",1
2013-07-29,"ch03",1
2013-07-29,"ch04",3
2013-07-29,"ch05",1
2013-07-31,"ch04",7
2013-07-31,"ch05",14
2013-08-01,"ch04",7
2013-08-01,"ch05",1
2013-08-02,"ch04",2
2013-08-02,"ch05",1
2013-08-03,"ch04",2
2013-08-03,"ch05",1
2013-08-04,"ch04",24
2013-08-05,"ch04",30
2013-08-05,"ch05",32
2013-08-06,"ch04",5
2013-08-07,"ch04",50
2013-08-07,"ch06",1
2013-08-16,"ch05",1
2013-08-16,"ch06",2
2013-08-16,"ch11",1
2013-08-24,"ch06",6
2013-08-30,"ch05",2
2013-08-30,"ch06",22
2013-08-31,"ch06",29
2013-09-01,"ch06",33
2013-09-01,"ch10",30
2013-09-01,"ch11",2
2013-09-02,"ch06",8
2013-09-02,"ch10",11
2013-09-03,"ch06",17
2013-09-03,"ch10",16
2013-09-08,"ch07",2
2013-09-15,"ch07",11
2013-09-18,"ch07",2
2013-09-19,"ch07",1
2013-09-20,"ch07",3
2013-09-22,"ch07",7
2013-09-22,"ch11",11
2013-09-23,"ch07",5
2013-09-24,"ch07",11
2013-09-24,"ch11",12
2013-09-30,"ch09",3
2013-09-30,"ch10",1
2013-09-30,"ch11",12
2013-10-05,"ch08",1
2013-10-06,"ch05",3
2013-10-06,"ch09",8
2013-10-08,"ch09",3
2013-10-10,"ch05",1
2013-10-10,"ch08",2
2013-10-10,"ch09",2
2013-10-11,"ch08",1
2013-10-11,"ch09",1
2013-10-12,"ch09",7
2013-10-13,"ch08",2
2013-10-13,"ch09",11
2013-10-14,"ch08",1
2013-10-15,"ch08",1
2013-10-15,"ch09",34
2013-10-17,"ch01",17
2013-10-17,"ch05",2
2013-10-18,"ch02",5
2013-10-19,"ch05",13
2013-10-20,"ch02",1
2013-10-20,"ch05",20
2013-10-21,"ch02",1
2013-10-21,"ch03",39
2013-10-22,"ch04",1
2013-10-22,"appendix.a",3
2013-10-24,"ch02",5
2013-10-24,"ch04",23
2013-10-24,"ch05",1
2013-10-24,"ch06",18
2013-10-24,"ch07",1
2013-10-24,"ch09",1
2013-10-25,"appendix.a",2
2013-10-26,"ch12",3
2013-10-27,"ch12",5
2013-10-27,"appendix.a",2
2013-10-28,"introduction",4
2013-10-28,"ch01",1
2013-10-28,"ch12",5
2013-10-28,"appendix.a",1
2013-10-29,"introduction",1
2013-10-31,"introduction",12
2013-10-31,"ch05",3
2013-11-01,"introduction",3
2013-11-01,"ch07",1
2013-11-01,"ch08",9
2013-11-02,"introduction",5
2013-11-02,"ch07",2
2013-11-02,"ch08",4
2013-11-03,"ch09",8
2013-11-04,"ch10",59
2013-11-04,"ch11",1
2013-11-05,"appendix.b",2
2013-11-06,"appendix.b",1
2013-11-07,"ch11",25
2013-11-07,"ch12",1
2013-11-08,"ch06",5
2013-11-08,"ch11",1
2013-11-08,"ch12",4
2013-11-09,"introduction",2
2013-11-09,"ch12",5
2013-11-10,"introduction",1
2013-11-10,"ch06",1
2013-11-13,"ch12",7
2013-11-13,"appendix.b",1
2013-11-19,"ch04",1
2013-11-30,"ch01",1
2013-11-30,"ch06",5
2013-11-30,"ch07",3
2013-12-02,"ch03",1
2013-12-02,"ch04",8
2013-12-16,"introduction",2
2013-12-16,"ch05",1
2013-12-16,"ch06",7
2013-12-16,"ch07",1
2013-12-16,"ch09",1
