"latitude","longitude"
28.55,115.9333
51,9
25.0392,121.525
45.5848,-122.9117
48.86,2.35
41.8825,-87.6441
34.6836,113.5325
30.6667,104.0667
39.8897,115.275
41.7922,123.4328
47.4891,-122.2908
37.4906,127.02
37.3495,-122.1163
36.6683,116.9972
35.1613,-101.879
3.0833,101.65
59.8944,30.2642
34,9
35.685,139.7514
31.8639,117.2808
41.8471,-87.6248
56,24
39.9289,116.3883
32.0617,118.7778
22.25,114.1667
34.104,-117.6642
33.9777,-118.4351
25.0167,116.7116
45.75,126.65
47.6062,-122.3321
34.0115,-117.8535
51.5,-0.13
1.2931,103.8558
35.1404,-106.4877
48,68
26.0614,119.3061
36.7889,-114.1431
41.8876,-87.6368
37.567,-121.9829
23.5,121
29.4889,-98.3987
30.2936,120.1614
23.1167,113.25
15,100
43.88,125.3228
30,70
43.8833,25.9667
40.6522,109.8222
45.5833,9.1167
41.487,-90.4773
28.1792,113.1136
28.3031,-82.7048
32.0667,34.7667
22.2833,114.15
38.2582,-85.4526
32.4907,119.9081
37.57,126.98
31,36
-10,-55
20,77
-21.6667,-49.75
34.4065,-118.4015
62,15
-24.6464,25.9119
-5,120
33.4357,-111.9171
30.5801,114.2734
42.5065,-83.3491
40.8597,-74.4026
60,100
33.9908,-118.4601
29.8782,121.5495
35,105
41.0186,28.9647
4.6492,-74.0628
39,35
34.053,-118.2642
35.1802,136.9067
48.5813,25.6599
40.7801,-74.0633
-29,24
24.0656,111.948
29.5628,106.5528
45.1667,15.5
52.5,5.75
35.69,139.69
58.5167,31.2833
31.0456,121.3997
8,-66
19.4342,-99.1386
34.2583,108.9286
65,-18
22.8167,108.3167
38,-97
33.2,-117.2425
42.8326,-77.3096
21.0486,76.5344
42.2923,-83.7145
53.3606,83.7636
30.7343,76.7933
-33.8615,151.2055
32.3113,-90.3972
32.957,-117.1979
57.0355,9.9412
-25.9971,28.1299
29.3697,47.9783
25,45
13.754,100.5014
24.9139,118.5858
37.7269,112.4708
16,106
18.975,72.8258
25.0389,102.7183
38.4681,106.2731
17.3753,78.4744
21.0333,105.85
42,21.4333
18.5333,73.8667
52.2978,104.2964
44.2,27.3333
24.1433,120.6814
-23.4733,-46.6658
42.8333,12.8333
-8.8368,13.2332
6.2518,-75.5636
43,25
41.4486,-75.728
45.4551,-73.6084
-30.0333,-51.2
39.1068,-94.566
39,22
37.386,-122.0838
40.74,-73.9361
-34.5875,-58.6725
55.7522,37.6156
37.3887,-122.0188
33.8138,-117.7986
7,81
30.7522,120.75
51.5885,0.0182
43.4529,-80.5281
41.0333,14.2833
13.0833,80.2833
43.551,10.5891
27.7975,-97.3994
59.0833,38.1679
28.6667,77.2167
54.6833,25.3167
46.0667,11.1333
37.5985,126.9783
24,54
44.4167,8.95
18,105
53.154,17.2676
15,30
-17.75,-48.6333
52,20
22.5333,114.1333
47.7623,-122.2054
45.3333,10.3333
28.6,77.2
-21.1667,-47.8
46,25
53.5924,87.4308
37.3394,-121.895
50.0368,19.2308
28.5383,-81.3792
45.5078,-73.5804
1.3667,103.8
50.6107,36.5802
39.5,-8
34.1748,-117.8751
40.8326,-74.1307
51.9393,15.5058
47.0056,28.8575
49,32
-33.918,25.5701
31.5,34.75
30.78,76.69
56.95,24.1
44.4333,26.1
27.9994,120.6668
27.8456,120.4928
-22.9,-43.2333
39.0437,-77.4875
5.3814,100.3897
50.206,19.2701
42.6833,23.3167
42,43.5
33.5091,-112.0265
32.7597,-97.147
52.5167,13.4
36.2667,128.5667
-33.45,-70.6667
38.0033,-122.0318
45.5,-73.5833
43.85,18.3833
26,50.55
24.9056,67.0822
3.1667,101.7
